Namespace(alpha=0.2, batch_size=2048, beta=0.3, dataset='AMusic', decay=0.0001, early_stop=50, emb_size=64, epochs=1000, gpu_id=1, initilizer='normal', layer=4, lr=0.001, seed=2022, self_loop=0, task='train', top_H=4, topks='[10, 20]')
EPOCH 183/1000 [0.25s], loss: 0.02912
EPOCH 184/1000 [0.25s], loss: 0.02943
EPOCH 185/1000 [0.26s], loss: 0.02947
EPOCH 186/1000 [0.25s], loss: 0.02827
EPOCH 187/1000 [0.26s], loss: 0.03007
EPOCH 188/1000 [0.25s], loss: 0.02863
EPOCH 189/1000 [0.25s], loss: 0.02843
EPOCH 190/1000 [0.25s], loss: 0.02813
[TEST 0.35s], {'precision': [0.04966613, 0.0365277 ], 'recall': [0.21166166, 0.30188863], 'ndcg': [0.14733084, 0.1754726 ]}
EPOCH 191/1000 [0.32s], loss: 0.02889
EPOCH 192/1000 [0.24s], loss: 0.02713
EPOCH 193/1000 [0.25s], loss: 0.02810
EPOCH 194/1000 [0.25s], loss: 0.02845
EPOCH 195/1000 [0.25s], loss: 0.02902
EPOCH 196/1000 [0.25s], loss: 0.02802
EPOCH 197/1000 [0.25s], loss: 0.02701
EPOCH 198/1000 [0.25s], loss: 0.02840
EPOCH 199/1000 [0.26s], loss: 0.02797
EPOCH 200/1000 [0.25s], loss: 0.02758
[TEST 0.33s], {'precision': [0.04993683, 0.03662696], 'recall': [0.21352866, 0.30225044], 'ndcg': [0.14856026, 0.17639944]}
EPOCH 201/1000 [0.34s], loss: 0.02705
EPOCH 202/1000 [0.26s], loss: 0.02742
EPOCH 203/1000 [0.25s], loss: 0.02874
EPOCH 204/1000 [0.26s], loss: 0.02728
EPOCH 205/1000 [0.25s], loss: 0.02739
EPOCH 206/1000 [0.25s], loss: 0.02735
EPOCH 207/1000 [0.25s], loss: 0.02715
EPOCH 208/1000 [0.26s], loss: 0.02774
EPOCH 209/1000 [0.25s], loss: 0.02565
EPOCH 210/1000 [0.25s], loss: 0.02722
[TEST 0.34s], {'precision': [0.05055044, 0.03676232], 'recall': [0.21556128, 0.30374628], 'ndcg': [0.1501172 , 0.17768735]}
EPOCH 211/1000 [0.35s], loss: 0.02549
EPOCH 212/1000 [0.25s], loss: 0.02649
EPOCH 213/1000 [0.26s], loss: 0.02489
EPOCH 214/1000 [0.26s], loss: 0.02521
EPOCH 215/1000 [0.25s], loss: 0.02603
EPOCH 216/1000 [0.26s], loss: 0.02619
EPOCH 217/1000 [0.25s], loss: 0.02551
EPOCH 218/1000 [0.26s], loss: 0.02489
EPOCH 219/1000 [0.25s], loss: 0.02677
